CDDW,,Darlington Memorial Hospital Memorial Hospital Hollyhurst Raod  Darlington County Durham,DL3 6HX,01325 743861,01325 743180,County Durham & Darlington NHS Foundation Trust,County Durham & Darlington Wheelchair,janetmoran@nhs.net
CDDR,,Tarncroft Villa Lanchester Road Hospital Lanchester Road  Durham County Durham,DH1 5RD,0191 333 6327,0191 3336521,County Durham & Darlington NHS Foundation Trust,County Durham & Darlington Wheelchair Service,
ND,Occupational Therapy Department,Shotley Bridge General Hospital Shotley Bridge   Consett County Durham,DH8 0NB,01207 586060,,North Durham Health Care NHS Trust,North Durham Health Care NHS Trust,
CDSC,Carlisle Disablement Services Centre,Lower Ground Floor Cumberland Infirmary Infirmary Street  Carlisle Cumbria,CA2 7HY,01228 814783,01228 814809,North Cumbria Acute Hospitals NHS Trust,North Cumbria Acute Hospitals NHS Trust,sue.bannister@northcumbria-acute.nhs.uk
DWS,Derbyshire Wheelchair Service,Mulberry Clay Cross Hospital Market Street Clay Cross Chesterfield Derbyshire,S45 9NZ,01246 252970,01246 252973,Derbyshire  Community Health Service,Derbyshire  Community Health Service,
PLYMW,Derbyshire Wheelchair Service,The Manor Store Manor Parkway Uttoxeter Road  Derby Derbyshire,DE22 3NB,01332 287057,01332 287059,Derbyshire Community Health Service,Derbyshire Community Health Service,
EXMOB,Plymouth Wheelchair Service,Millbrook Healthcare Unit D Armada Point Estover Road  Plymouth Devon,PL6 7PY,0845 8940634,0845 4818567,Plymouth Teaching Primary Care Trust,Plymouth Teaching Primary Care Trust,
DORE,Exeter Mobility Centre,Lister Close Wonford Road   Exeter Devon,EX5 4QX,01392 403648,01392 403667,Royal Devon & Exeter NHS Foundation Trust,"New Devon, Somerset, Torbay CCGs",
DORW,Dorset Wheelchair Service (East),The Acorn Building St Leonards Hospital Ringwood Road  Ringwood Dorset,BH24 2RR,01202 892874,01202 870553,Dorset HealthCare University NHS Foundation Trust,Dorset HealthCare University NHS Foundation Trust,
HAST,Dorset Wheelchair Service (West),Unit F2 Marabout Industrial Estate   Dorchester Dorset,DT1 1YA,01305 261210,01305 259529,Dorset HealthCare University NHS Foundation Trust,Dorset HealthCare University NHS Foundation Trust,
BHOVE,East Sussex Wheelchair Service,Conquest Hospital Egerton Unit Conquest Hospital The Ridge St Leonards-on-Sea East Sussex,TN37 7RD,01424 758076,01424 757003,Hastings & Rother PCT,Hastings & Rother PCT,
ESUX,Brighton and Hove  Wheelchair / Specialist seating Service,Sussex Rehabilitation Centre (Brighton) Elm Grove   Brighton East Sussex,BN2 3EX,01273 242156,01273 605063,Sussex Community NHS Trust,Sussex Community NHS Trust,SC-TR.wheelchairadmin@nhs.net
HULL,East Sussex Wheelchair Service,District General Hospital Rehabilitation Unit Kings Drive  Eastbourne East Sussex,BN21 2UD,01323 413798,01323 413895,East Sussex Downs and Weald PCT,East Sussex Downs and Weald PCT,
EDIN,Hull Wheelchair Assessment Service,Victoria House Park Street   Kingston upon Hull East Yorkshire,HU2 8TD,01482 617796,01482 617803,Humber NHS Foundation Trust,Humber NHS Foundation Trust,wheelchair.assessmentunit@nhs.net
WALT,Edinburgh Mobility Centre,Astley Ainslie Hospital 133 Grange Road   Edinburgh City of Edinburgh,EH9 2HL,0131 537 9177,0131 537 9176,Lothian Primary Care Trust,Lothian Primary Care Trust,
NEESX,Waltham Forest Wheelchair & Special Seating Service,The Gemini Centre 88 New London Road   Chelmsford Essex,CM2 0PD,0800 1230810,01245 318561,Central Essex Community Services (CECS),Central Essex Community Services (CECS),
HAVE,North East Essex Wheelchair Service,Essex County Hospital Lexden Road   Colchester Essex,CO3 3NB,01206 744680,01206 744681,Colchester Hospital University NHS Foundation trust,North Essex CCG,chu-ftr.NEEWCS@nhs.net
MIEX,Havering Wheelchair Service,Disablement Services Centre Harold Wood Hospital Gubbins Lane Haroldwood Romford Essex,RM3 0AR,01708 796200,01708 796201,Havering Primary Care NHS Trust,Havering Primary Care NHS Trust,
RED,Mid Essex Wheelchair Service,The Gemini Centre Lower Ground Floor 88 New London Road  Chelmsford Essex,CM2 0PD,01245 318560,01245 318561,Mid Essex Primary Care Trust,Mid Essex Primary Care Trust,
SOEW,Redbridge Wheelchair service,Goodmayes Hospital Barley Lane Goodmayes  Ilford Essex,IG3 8XJ,020 8970 5752,020 8970 57553,NHS Redbridge,NHS Redbridge,
SWEX,Southend Wheelchair Service,Integrated Resource Centre Unit 8 The Forum Coopers Way Temple Farm Industrial Estate  Southend on Sea Essex,SS2 5TE,01702 442145,01702 442102,South Essex Partnership NHS Trust,,southendwheelchair.service@nhs.net
WMARC,Wheelchair Service,Thurrock Community Hospital Long Lane   Grays Essex,RM16 2PX,01375 364455,01375 364454,South West Essex Community Services,South West Essex Community Services,wheelchairservice@swessex.nhs.uk
GLO,West of Scotland Mobility & Rehabilitation Centre,Southern General Hospital 1345 Govan Road Govan  Glasgow Glasgow,G51 4TF,0844 811 3001 or 0141 201 2624,0141 2012649,NHS Greater Glasgow & Clyde & Consortium NHS Health Boards,,WestMARC@ggc.scot.nhs.uk
WLEI,Gloucestershire Care Services Wheelchair Service,Independent Living Service Village Road   Cheltenham Gloucestershire,GL51 0BY,01242 713900,01242 524837,Gloucestershire Care Services,NHS Gloucestershire,
BOLT,Wigan and Leigh Wheelchair Service,Claire House Lower Ince Health Centre Pheonix Way Ince Wigan Greater Mancester,WN3 4NW,01942 481162,01942 481175,Bridgewater Community Healthcare NHS Trust,Wigan CCG,wigan.wheelchairservice@bridgewater.nhs.uk
ROCH,Bolton Wheelchair Service,Lever Chambers Centre for Health Ashburner Street   Bolton Greater Manchester,BL1 1SQ,01204 462777,01204 462778,NHS Bolton Foundation Trust,NHS Bolton Foundation Trust,
SALF,Rochdale Posture & Mobility Centre,Peninsula House Cross Street Heywood  Rochdale Greater Manchester,OL10 2DY,01706 837190,,Rochdale Healthcare NHS Trust,Rochdale Healthcare NHS Trust,deborah.jones@pat.nhs.uk
MAN,Salford Disable Living Centre,Burrows House Wardley Industrial Estate   Salford Greater Manchester,M28 2LY,0161 607 1499,,Salford Disability Services,Salford Disability Services,
BASI,Manchester Disablement Services Centre,Withington Hospital Cavendish Road   Manchester Greater Manchester,M20 1LB,0161 998 7070,0161 611 3761,University Hospital of South Manchester NHS Foundation Trust,University Hospital of South Manchester NHS Foundation Trust,
PORT,Basingstoke Wheelchair Service,Fairway House Parklands Hospital Aldermaston Road  Basingstoke Hampshire,RG24 9RH,01256 376485,01256 376481,Southern Health NHS Foundation Trust,North Hampshire,s.afshar@nhs.net
WINC,Portsmouth Disablement Services Centre,St Mary's Hospital Milton Road   Portsmouth Hampshire,PO3 6AD,02392 680154,02392 680151,Portsmouth Hospitals NHS Trust,Portsmouth Hospitals NHS Trust,
HERE,Winchester Posture & Mobility Service,Unit 5 Winchester Trade Park Easton Lane  Winchester Hampshire,SO23 7FA,01962 710444,01962 710443,NHS Hampshire,NHS Hampshire,
HOLLY,Herefordshire District  Wheelchair Service,Benet Building Belmont Abbey Ruchall Lane Belmont Hereford Herefordshire,HR2 9RP,01432 363903,01432 363959,Wye Valley Trust,Herefordshire CCG,
HERT,Holly (West Essex) NHS Wheelchair Service,Unit 3 Stortford Hall Industrial Park Dunmow Road   Bishop's Stortford Hertfordshire,CM23 5GZ,01279 698902,01279 698904,South Essex Partnership Trust (SEPT),SEPT,
HIGH,Hertfordshire Wheelchair Service,Unit J Swiftfield City Park Watchmead   Welwyn Garden City Hertfordshire,AL7 1LT,0333 234 0303,,Millbrook Healthcare,East and North Hertfordshire CCG  Herts Valley CCG,hertswcs@millbrookhealthcare.co.uk
IOW,Highlands Wheelchair Service,Department of Medical Physics Raigmore Hospital Old Perth Road  Inverness Highlands,IV2 3UJ,01463 704167/9,01463 705717,Highland Acute Hospitals NHS Trust,Highland Acute Hospitals NHS Trust,
BROM,Isle of Wight Occupational Therapy & Wheelchair Service,St Mary's Hospital Dodnor Lane   Newport Isle of Wight,PO30 5TG,01983 552053,01983 552052,Isle of Wight NHS PCT,Isle of Wight NHS PCT,
KMWS,Wheelchair Assessment Service,Beckenham Clinic 14 The Crescent   Beckenham Kent,BR31DU,020 8662 6671,020 8658 3398,Bromley HealthcareLtd,Bromley HealthcareLtd,
BEX,"Kent & Medway Wheelchair Service, Canterbury",Trust Headquarters St Martins Hospital   Canterbury KENT,CT1 1AZ,0300 7900128,0300 7900129,Kent Community Health NHS Trust,Kent Community Health NHS Trust,kcht.wheelchairservice-kent@nhs.net
DART,Bexley Wheelchair Service,20 Whitehall Lane Slade Green   Erith Kent,DA8 2DH,020 3045 3755,020 3045 3757,Inspire Community Trust,Inspire Community Trust,
GILL,"Kent and Medway Wheelchair Service , Dartford",Greenacres Bow Arrow  Lane   Dartford Kent,DA2 6PB,0300 7900128,0300 7900129,Kent Community Health NHS Trust,Kent Community Health NHS Trust,kcht.wheelchairservice-kent@nhs.net
ASH,"Kent & Medway Wheelchair Service, Gillingham",DSC Centre Medway Maritime Hospital Windmill Road  Gillingham Kent,ME7 5NY,0300 7900128,0300 7900129,Kent Community Health NHS Trust,Kent Community Health NHS Trust,kcht.wheelchairservice-kent@nhs.net
AYLE,"Kent & Medway Wheelchair Service, Ashford",Administration Team Norman House Beaver Business Park Beaver Road Ashford Kent,TN23 7SH,0300 7900128,0300 7900129,Kent Community Health NHS Trust,Kent Community Health NHS Trust,kcht.wheelchairservice-kent@nhs.net
MAID,"Kent & Medway Wheelchair Service, Aylesham",New Aylesham Health Centre Queen's Road   Aylesham Kent,CT3 3BB (Sat Nav CT3 3AA),0300 7900128,0300 7900129,Kent Community Health NHS Trust,Kent Community Health NHS Trust,kcht.wheelchairservice-kent@nhs.net
CHOR,"Kent & Medway Wheelchair Service, Maidstone",The Heathside Centre Heath Road Coxheath  Maidstone Kent,ME17 4AH,0300 7900128,0300 7900129,Kent Community Health NHS Trust,Kent Community Health NHS Trust,kcht.wheelchairservice-kent@nhs.net
PRES,Chorley South Ribble and West Lancashire Wheelchair Service,Unit 2  Pendle Place West Pimbo Industrial Estate  Skelmersdale West Lancashire,WN8 9PN,01695 559142,01695 727143,Southport & Ormskirk Hospitals NHS Trust,Southport & Ormskirk Hospitals NHS Trust,
SEFT,Specialist Mobility Rehabilitation Centre,Preston Business Centre Watling Street Road Fulwood  Preston Lancashire,PR2 8DY,01772 716921,01772 712391,Lancashire Teaching Hospitals NHS Trust,Lancashire Teaching Hospitals NHS Trust,
SOUTH,Southport & Formby Wheelchair Services,44 - 46 Houghton ST    Southport Lancashire,PR9 0PQ,01704 385098,01704 383077,Sefton PCT,Sefton PCT,
LEICE,Southport and Formby Wheelchair Service,"Unit 2, Pendle Place West Pimbo Industrial Estate   Skelmersdale Lancashire",WN8 9PR,01695 559142,01695 727143,Southport and Ormskirk Hospitals NHS Trust,Southport and Ormskirk Hospitals NHS Trust,
NLINC,Leicester Specialist Mobility Centre,17A Meridian East    Leicester Leicestershire,LE19 1WZ,0116 282 3500,0116 2456160,Blatchford Clinical Services,Blatchford Clinical Services,
GRIMS,North Lincolnshire Wheelchair Service,Horkstow House Brumby Resource Centre East Common Lane  Scunthorpe North Lincolnshire,DN16 1QQ,01724 298080,01724 298079,North Lincolnshire and Goole Hospitals NHS Foundation Trust,North Lincolnshire and Goole Hospitals NHS Foundation Trust,
DIANA,Wheelchair Services,Diana Princess of Wales Hospital Scartho Road   Grimsby North East Lincolnshire,DN33 2BA,01472 875323,01472 875488,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,
LINCOLN,Lincolnshire Wheelchair Service,Millbrook Healthcare Somer House 84 Great North Terrace  Lincoln Lincolnshire,LN5 8HJ,03332 400101,,Millbrook Healthcare,Greater East Midlands Commissioning Support Unit,lincolncontactus@millbrookhealthcare.co.uk
BARNET,Barnet Wheelchair Service,Finchley Memorial Hospital Granville Road   Finchley London,N12 0JE,0845 389 2889,0208 349 7435,Barnet Primary Care Trust,Barnet Primary Care Trust,wheelchair.service@barnet-pct.nhs.uk
CAMD,Camden & Islington  Wheelchair Service,The Peckwater Centre 6 Peckwater Street   Camden London,NW5 2TX,0203 317 5040,020 7485 5306,Camden & Islington Community Health Services NHS Trust,Camden & Islington Community Health Services NHS Trust,enquiries.wheelchair@camdenpct.nhs.uk
CHACK,City & Hackney Wheelchair Service,St Leonard's Nuttall Street   Hackney London,N1 5LZ,020 7683 4250,020 7613 5359,City and Hackney Teaching Primary Care Trust,City and Hackney Teaching Primary Care Trust,
RHN,Royal Hospital for Neuro-disability,West Hill    Putney London,SW15 3SW,020 8780 4500 Ex 5050,08701 912602,Royal Hospital for Neuro-disability,Royal Hospital for Neuro-disability,kmarshall@rhn.org.uk
STGEO,Roehampton Wheelchair Service,Queen Mary's Hospital Roehampton Lane   Roehampton London,SW15 5PN,0208 487 6084/5,0208 487 6186,Wandsworth Primary Care Trust,"Kingston, Richmond, Merton, Sutton, Spelthorne, Wandsworth,  CCG",emma.wakeling@stgeorges.nhs.uk
WANDS,Roehampton Specialist Seating Service,Queen Mary's Hospital Roehampton Lane   Roehampton London,SW15 5PN,020 83552714,020 83552718,Wandsworth Primary Care Trust,Wandsworth Primary Care Trust,
SOUTHW,Rehabilitation Centre,Bowley Close Farquhar Road   Crystal Palace London,SE19 1SZ,020 3049 7729,020 3049 7703,Southwark PCT Wheelchair Service,Southwark PCT Wheelchair Service,Wheelchair.Service@southwarkpct.nhs.uk
NEWHAM,Newham Wheelchair and Special Seating ServiceWheelchair Services,29 Romford Road    Stratford London,E15 4LY,020 84969029,020 84969030,Newham Primary Care Trust,Newham Primary Care Trust,
HARING,Haringey Wheelchair Service,St Ann's Hospital St Ann's Road   Tottenham London,N15 3TH,0208 442 6202,0208 442 6367,Haringey Teaching PCT,Haringey Teaching PCT,
NMIDX,Haringey Wheelchair Service,St Ann's Hospital St Ann's Road Tottenham  London London,N15 3TH,0208 442 6365,0208 442 6367,North Middlesex Hospital NHS Trust,North Middlesex Hospital NHS Trust,
THAM,Tower Hamlets Wheelchair Service,Mile End Hospital 275 Bancroft Road Mile End London London,E1 4DG,020 8223 8842,020 8223 8714,Tower Hamlets Primary Care Trust,Tower Hamlets Primary Care Trust,
GREEN,Greenwich Wheelchair Service,Memorial Hospital Shooters Hill   Woolwich London,SE18 3RZ,0208 836 8536,020 8856 5473,Oxleas NHS Foundation Trust,Oxleas NHS Foundation Trust,
SSEFTON,South Sefton Wheelchair Service,Prosthetic & Wheelchair Centre University Hospital Aintree Longmoor Lane  Liverpool Merseyside,L9 7AL,0151 529 8728,0151 529 3031,Aintree University Hospitals NHS  Foundation Trust,Aintree University Hospitals NHS  Foundation Trust,
WALT,Walton Centre for Neurology & Neurosurgery (BRSM),Lower Lane    Liverpool Merseyside,L9 7LJ,0151 525 3622 x5484,,Aintree Hospitals NHS Trust,Aintree Hospitals NHS Trust,
LIVERP,Liverpool Wheelchair Service,Lifehouse Brunswick Dock Business Park Summers Road  Liverpool Merseyside,L3 4BL,0151 296 7770,0151 296 7764,Liverpool Community Heath NHS Trust,Liverpool CCG,liverpoolwheelchairservice@liverpoolch.nhs.uk
STHELEN,Wheelchair Assessment Unit,Eccleston Centre St Helens Hospital Marshalls Cross Road  St Helens Merseyside,WA9 3DA,01744 646809,01744 646702,St Helens and Knowsley Hospitals NHS Trust,St Helens and Knowsley Hospitals NHS Trust,
KNOWSLEY,Knowsley Centre for Independent Living,11 Brickfields Huyton Business Park Huyton Knowsley Liverpool Merseyside,L36 6HY,0151 244 4100,,5 Boroughs NHS Foundation Trust,Knowsley CCG,centreforindependentliving@5bp.nhs.uk
ENFIELD,Enfield Wheelchair Service,14 Centre Way Clavering Estate Montagu Road Edmonton Middlesex,N9 0AH,020 8379 8842,,London Borough of Enfield,Enfield CCG,wheelchairservice@enfield.gov.uk
HILLING,Hillingdon Wheelchair Service,Wood End Centre Judge Heath Lane   Hayes Middlesex,UB3 2PB,01895 484 881,01895 484 882,Central and Northwest London NHS Foundation Trust,Central and Northwest London NHS Foundation Trust,
HARROW,Harrow Wheelchair Service,Unit 11 Waverley Industrial Estate Hailsham Drive   Harrow Middlesex,HA1 4TR,0208 427 2881,0208 427 2934,Central and Northwest London NHS Foundation Trust,Central and Northwest London NHS Foundation Trust,
HOUNS,Hounslow Wheelchair and Special Seating Service,Heart of Hounslow Centre for Health 92 Bath Road   Hounslow Middlesex,TW3 3EL,020 86303 994 / 1277,020 8630 3766,Hounslow and Richmond Community Healthcare NHS Trust,North West London Commissioning Support Unit,
BRENT,Brent and Ealing Wheelchair Service,Wembley Centre for Health & Care Copland Suite 116 Chaplin Road  Wembley Middlesex,HA0 4UZ,020 8795 6075,020 8795 6074,NHS Brent (Hosting  Ealing),NHS Brent (Hosting  Ealing),harriet.beynon@brentpct.nhs.uk
KINGSL,Kings Lynn  Wheelchair Service,Queen Elizabeth Hospital Gayton Road   Kings Lynn Norfolk,PE30 4ET,01553 613761,01553 613196,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,West Norfolk CCG,wheelchairservice@qehkl.nhs.uk
NORW,Norwich Disablement  Services Centre,(Julian Hospital Site)  201 Bowthorpe Road  Norwich Norfolk,NR2 3UD,01603 216956,01603 216969,NHS Norfolk -Norfolk Community Health and Care,NHS Norfolk -Norfolk Community Health and Care,
GYARM,Suffolk PCT on Behalf of Gt Yarmouth & Waveney PCT,Norfolk Coastal Centre for Independent Life Woodfarm Lane Beacon Park Gorleston Great Yarmouth Norfolk,NR31 9AQ,01493 659722,01493 659715,Suffolk PCT on Behalf of Gt Yarmouth & Waveney PCT,Great Yarmouth & Waveney Wheelchair Service,
WALES,Artificial Limb and Appliance Service,Wrexham Maelor Hospital Croesnewydd Road   Wrexham North Wales,LL13 7TD,01978 727524,01978 727307,North East Wales NHS Trust,North East Wales NHS Trust,
NALLER,Northallerton Wheelchair Centre,The Friarage Hospital    Northallerton North Yorkshire,DL6 1JG,01609 763914,01609 763050,Harrogate and District Foundation Trust,Harrogate and District Foundation Trust,
HARROG,Harrogate Wheelchair Service,Unit 2 Manse Lane   Knaresborough North Yorkshire,HG5 8LF,01423 554615,01423 554601,Harrogate and District Foundation Trust,Harrogate CCG,york.nhswheelchairservice@nhs.net
YORK,York Wheelchair Centre,Blue Beck House Blue Beck Drive Shipton Road  York North Yorkshire,YO30 5SF,01904 654052,01904 675093,Harrogate and District Foundation Trust,HaRD CCG,york.nhswheelchairservice@nhs.net
SCARB,Scarborough Wheelchair Centre,Springhill House   Scarborough North Yorkshire,YO12 4AD,01723 353177,,Harrogate and District Foundation Trust,Harrogate and District Foundation Trust,
NORTHA,Northamptonshire Wheelchair Service Assessment Team,Forest House 2 Riley Road   Kettering Northamptonshire,NN16 8NN,01536 516069,01536 527402,Northamptonshire Healthcare NHS Foundation Trust,Nene CCG,wheelchair.assessment@nhft.nhs.uk
NORTHUM,Northumberland Wheelchair Service,Community Stores Unit 43 Colbourne Crescent Nelson Park Industrial Estate Cramlington Northumberland,NE23 1WB,01670 730595,01670 730537,Northumbria Healthcare NHS Foundation Trust,Northumberland CCG,wheelchairservices@northumbria-healthcare.nhs.uk
NOTTS,Nottingham Mobility Centre,City Campus Hospital Nottingham University Trust Hucknall Road  Nottingham Nottinghamshire,NG5 1PJ,0115 9691169 ext 56549,0115 9628052,,Mobility Centre,
MANSFIELD,Mansfield Wheelchair Service,Mansfield Community Hospital Stockwell Gate   Mansfield Nottinghamshire,NG18 5QJ,01623 785076,01623 622931,Sherwood Forest Hospitals Trust,Sherwood Forest Hospitals Trust,
OCE,Oxfordshire Wheelchair Service  OCE,Nuffield Orthopaedic Centre Windmill Road Headington  Oxford Oxon,OX3 7HE,01865 227273,01865 227294,Oxford University Hospitals NHS Trust,Oxfordshire,oxfordshire.wheelchairservice@ouh.nhs.uk
SHROP,Shropshire Wheelchair & Posture Service,Shropshire Rehabilitation Centre Lancaster Road Harlescott  Shrewsbury Shropshire,SY1 3NJ,01743 444051,01743 444071,Shropshire Community Health NHS Trust,Shropshire Community Health NHS Trust,
ALAS,Artificial Limb and Appliance Service,Rookwood Hospital Fairwater Road Llandaff  Cardiff South Glamorgan,CF5 2YN,029 20 313905,029 20 565355,Cardiff and Vale University Health Board,Cardiff and Vale University Health Board,
RDASH,Wheelchair and Special Seating Services,Tickhill Road Hospital Tickhill road Balby  Doncaster South Yorkshire,DN4 8QN,01302 566701,01302 798366,Rotherham Doncaster South Humber NHS Foundation Trust,Rotherham Doncaster South Humber NHS Foundation Trust,
ROTHER,Rotherham Equipment & Wheelchair Services ,Chesterton Road Eastwood Trading Estate   Rotherham South Yorkshire,S65 1SU,01709 302261,01709 302753,Rotherham NHS Foundation Trust,Rotherham NHS Foundation Trust,
SHEFF,Mobility and Specialised Rehabilitation Centre,Herries Road    Sheffield South Yorkshire,S5 7AU,0114 2715807,0114 2269220,Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,
STAFF,Wheelchair Service - Staffordshire Southern Division,Wheelchair Service - Southern Division  Level 2 Assessment Unit Cannock Chase Hospital Brunswick Road Cannock Staffordshire,WS11 5XY,01543 576406,,Stafffordshire and Stoke on Trent Partnership NHS Trust,Stafffordshire and Stoke on Trent Partnership NHS Trust,
NSTAFF,North Staffordshire Wheelchair Service,Specialised Mobility Centre Haywood Hospital High Lane Burslem Stoke on Trent Staffordshire,ST6 7AG,01782 673540,01782 673551,Stoke on Trent PCT,Stoke on Trent PCT,nsws@uhns.nhs.uk
WSUFF,West Suffolk Wheelchair Services,Disability Resource Centre Bunting Road Moreton Hall Estate  Bury St Edmunds Suffolk,IP32 7BX,01284 748843,01284 748889,Suffolk Primary Care Trust,Suffolk Primary Care Trust,
ESUFF,East Suffolk Wheelchair Service,Chantry Clinic Hawthorn Drive   Ipswich Suffolk,IP2 0QY,01473 692727,01473 603640,Suffolk Primary Care Trust,Suffolk Primary Care Trust,
CSURR,Central Surrey Wheelchair Service,Leatherhead Hospital Poplar Road   Leatherhead Surrey,KT22 8SD,01372 384383,01372 384374,Central Surrey Wheelchair Service,Central Surrey Wheelchair Service,csh.wheelchairservice@nhs.net
CROY,Croydon Wheelchair Services,28 Boulogne Road    Croydon Surrey,CR0 2QT,020 8665 9313,020 8689 9169,Croydon  NHS Primary Care Trust,Croydon  NHS Primary Care Trust,
SURRE,Surrey Wheelchair Services,Woking Community Hospital Heathside Road   Woking Surrey,GU22 7HS,0300 303 85 39,01483 846265,Virgincare NHS,Virgincare NHS,wheelchair.services@virgincare.co.uk
BOGN,Bognor Regis Wheelchair Service,Bognor Regis War Memorial Hospital Shripney Road   Bognor Regis West Sussex,PO22 9PP,01243 623650,01243 623652,Sussex Community NHS Trust,Sussex Community NHS Trust,SCT-TR.wheelchairservicebognor@nhs.net
SUSCOM,Sussex Community NHS Trust Wheelchair Service - Horsham Locality,Horsham Hospital Hurst Road   Horsham West Sussex,RH12 2DR,01403 227000 ext 7160,01403 227015,Sussex Community NHS Trust,Sussex Community NHS Trust,
WORTH,Worthing Wheelchair Service,Sussex Rehabilitation Centre Brighton General Hospital Elm Grove  Brighton East Sussex,BN2 3EX,01273 265850,01273 242016,Sussex Community NHS Trust,Sussex Community NHS Trust,SC-TR.wheelchairserviceworthing@nhs.net
TAYS,Tayside Orthopaedic & Rehabilitation Technology Centre,Ninewells Hospital    Dundee Tayside,DD1 9SY,01382 496299/496300,01382 496322,NHS Tayside,NHS Tayside,geoff.bardsley@tuht.scot.nhs.uk
STEES,South Tees Wheelchair Service,The James Cook University Hospital Marton Road   Middlesbrough Cleveland,TS4 3BW,01642 854127,01642 854376,South Tees Acute Hospitals NHS Foundation Trust,South Tees CCG,Christine.willans@stees.nhs.uk
